"","zipcode","year","state","county","city","appreciation","price","rent","revenue"
"733","32257","2022","FL","Duval County","Jacksonville",9.4,293057.2192,16567.2,0.150532304664686
"734","67203","2022","KS","Sedgwick County","Wichita",7.9,130222.7836,9304.8,0.150452934292828
"735","33770","2022","FL","Pinellas County","Largo",10.1,291273.0732,14392.8,0.150413424460686
"736","80916","2022","CO","El Paso County","Colorado Springs",9.4,333928.184,18806.4,0.150318696357777
"737","27705","2022","NC","Durham County","Durham",10.8,385132.6008,16296,0.150312699486228
"738","98201","2022","WA","Snohomish County","Everett",11.5,481711.22,17008.8,0.150309121510601
"739","33028","2022","FL","Broward County","Pembroke Pines",9.3,515735.329,29556,0.150308464900608
"740","76021","2022","TX","Tarrant County","Bedford",9.1,344960.017,20455.2,0.150297306910789
"741","28027","2022","NC","Cabarrus County","Concord",9.5,322579.992,17805.6,0.150197471763841
"742","80917","2022","CO","El Paso County","Colorado Springs",10.3,376620.453,17764.8,0.150168973056277
"743","30310","2022","GA","Fulton County","Atlanta",9.3,309043.7826,17664,0.150156949903318
"744","34685","2022","FL","Pinellas County","Palm Harbor",10,421119.05,21093,0.150087973935162
"745","55433","2022","MN","Anoka County","Coon Rapids",9.3,302446.216,17244,0.150015095867491
"746","32821","2022","FL","Orange County","Williamsburg",8.6,282097.6224,18057.6,0.150011883001251
"747","94520","2022","CA","Contra Costa County","Concord",9.8,522240.4224,27148.8,0.149985252070752
"748","94587","2022","CA","Alameda County","Union City",12.5,1183321.35,29544,0.149967013398347
"749","33755","2022","FL","Pinellas County","Clearwater",8.3,268890.2724,18000,0.149941804325384
"750","27502","2022","NC","Wake County","Apex",10.2,437013.7484,20944.8,0.149927096290868
"751","98029","2022","WA","King County","Issaquah",12,976223.36,29212.8,0.149924299291506
"752","30024","2022","GA","Gwinnett County","Suwanee",10.6,462204.2572,20299.2,0.149918245415936
"753","33410","2022","FL","Palm Beach County","Palm Beach Gardens",9.4,439730.6744,24571.2,0.149877839392321
"754","45342","2022","OH","Montgomery County","Miamisburg",8.5,211047.473,13677.6,0.149808167591753
"755","92019","2022","CA","San Diego County","El Cajon",11.3,750360.5592,27616.8,0.149804706299387
"756","85704","2022","AZ","Pima County","Tucson",10.9,392626.3676,16008,0.149771586732322
"757","34787","2022","FL","Orange County","Winter Garden",9.4,422553.5616,23553.6,0.149741099213113
"758","92128","2022","CA","San Diego County","San Diego",11.3,848500.4472,31166.4,0.14973115329856
"759","75033","2022","TX","Collin County","Frisco",11.3,521562.4848,19156.8,0.149729635582103
"760","77459","2022","TX","Fort Bend County","Missouri City",9.5,336282.822,18372,0.149632585425372
"761","92127","2022","CA","San Diego County","San Diego",12.1,1224253.2922,35040,0.149621528096553
"762","92064","2022","CA","San Diego County","Poway",11.9,985738.9614,30139.2,0.149575234600847
"763","30117","2022","GA","Carroll County","Carrollton",8.8,202481.8048,12456,0.149516638555762
"764","60061","2022","IL","Lake County","Vernon Hills",8,339804.504,23608.8,0.149477595859059
"765","37067","2022","TN","Williamson County","Franklin",12.1,651142.939,18535.2,0.149465639247299
"766","91335","2022","CA","Los Angeles County","Los Angeles",10.9,735614.5606,29738.4,0.14942660598744
"767","48073","2022","MI","Oakland County","Royal Oak",8.1,287598.3204,19646.4,0.149311942756394
"768","75044","2022","TX","Dallas County","Garland",8.6,294001.92,18607.2,0.14928938259995
"769","98198","2022","WA","King County","Des Moines",11.1,529920.7804,20287.2,0.149283458113657
"770","30066","2022","GA","Cobb County","Marietta",9,352243.092,20870.4,0.149249990912526
"771","55103","2022","MN","Ramsey County","Saint Paul",8.6,248937.264,15744,0.149244850316986
"772","91708","2022","CA","San Bernardino County","Chino",9.1,600560.3698,34963.2,0.149217627666047
"773","23222","2022","VA","Richmond City","Richmond",8.4,232359.9528,15148.8,0.149195399712613
"774","08873","2022","NJ","Somerset County","Franklin Township",8.8,415040.0128,25375.2,0.149139165423619
